ID,rating
5001,0
5002,1
5003,0
5004,0
5005,1
5006,1
5007,1
5008,0
5009,1
5010,1
5011,1
5012,0
5013,1
5014,0
5015,1
5016,1
5017,1
5018,1
5019,0
5020,1
5021,1
5022,1
5023,1
5024,1
5025,0
5026,1
5027,1
5028,1
5029,1
5030,1
5031,1
5032,1
5033,1
5034,1
5035,1
5036,1
5037,1
5038,1
5039,0
5040,0
5041,1
5042,0
5043,1
5044,1
5045,0
5046,0
5047,1
5048,1
5049,1
5050,1
5051,1
5052,0
5053,0
5054,0
5055,0
5056,1
5057,0
5058,1
5059,1
5060,1
5061,1
5062,1
5063,1
5064,1
5065,1
5066,1
5067,1
5068,1
5069,1
5070,0
5071,1
5072,0
5073,1
5074,0
5075,1
5076,1
5077,1
5078,1
5079,1
5080,1
5081,1
5082,0
5083,1
5084,1
5085,1
5086,1
5087,1
5088,0
5089,1
5090,0
5091,1
5092,1
5093,1
5094,1
5095,0
5096,1
5097,1
5098,1
5099,0
5100,1
5101,1
5102,0
5103,1
5104,1
5105,1
5106,1
5107,0
5108,0
5109,1
5110,1
5111,1
5112,1
5113,1
5114,1
5115,1
5116,1
5117,0
5118,1
5119,1
5120,0
5121,1
5122,0
5123,1
5124,1
5125,1
5126,1
5127,0
5128,1
5129,0
5130,1
5131,0
5132,1
5133,1
5134,0
5135,1
5136,1
5137,1
5138,1
5139,1
5140,0
5141,1
5142,1
5143,0
5144,0
5145,0
5146,1
5147,0
5148,0
5149,1
5150,1
5151,1
5152,0
5153,1
5154,0
5155,1
5156,1
5157,1
5158,1
5159,0
5160,1
5161,1
5162,1
5163,1
5164,0
5165,0
5166,1
5167,0
5168,1
5169,1
5170,0
5171,1
5172,1
5173,1
5174,1
5175,1
5176,1
5177,1
5178,1
5179,0
5180,1
5181,1
5182,1
5183,1
5184,0
5185,0
5186,1
5187,0
5188,1
5189,0
5190,1
5191,0
5192,0
5193,1
5194,1
5195,1
5196,0
5197,0
5198,1
5199,0
5200,1
5201,1
5202,0
5203,0
5204,1
5205,1
5206,1
5207,1
5208,1
5209,1
5210,1
5211,0
5212,0
5213,1
5214,1
5215,1
5216,0
5217,0
5218,1
5219,1
5220,1
5221,0
5222,1
5223,1
5224,0
5225,0
5226,1
5227,1
5228,1
5229,1
5230,0
5231,1
5232,1
5233,1
5234,0
5235,1
5236,1
5237,0
5238,1
5239,1
5240,1
5241,1
5242,1
5243,1
5244,0
5245,0
5246,1
5247,0
5248,0
5249,0
5250,1
5251,1
5252,0
5253,1
5254,1
5255,0
5256,0
5257,1
5258,1
5259,1
5260,0
5261,1
5262,0
5263,0
5264,1
5265,1
5266,1
5267,1
5268,1
5269,1
5270,1
5271,1
5272,1
5273,0
5274,1
5275,0
5276,1
5277,1
5278,1
5279,1
5280,1
5281,1
5282,1
5283,0
5284,0
5285,1
5286,1
5287,0
5288,0
5289,1
5290,1
5291,0
5292,1
5293,1
5294,0
5295,0
5296,0
5297,1
5298,0
5299,1
5300,1
5301,1
5302,0
5303,1
5304,0
5305,0
5306,1
5307,1
5308,1
5309,1
5310,0
5311,0
5312,1
5313,1
5314,1
5315,0
5316,0
5317,0
5318,1
5319,1
5320,1
5321,0
5322,0
5323,1
5324,1
5325,1
5326,1
5327,1
5328,1
5329,1
5330,1
5331,1
5332,1
5333,1
5334,1
5335,1
5336,1
5337,1
5338,1
5339,1
5340,1
5341,1
5342,1
5343,1
5344,1
5345,0
5346,1
5347,1
5348,1
5349,1
5350,0
5351,0
5352,1
5353,1
5354,0
5355,1
5356,1
5357,0
5358,1
5359,1
5360,1
5361,1
5362,0
5363,0
5364,1
5365,1
5366,0
5367,1
5368,1
5369,0
5370,1
5371,1
5372,1
5373,0
5374,1
5375,0
5376,0
5377,1
5378,0
5379,1
5380,1
5381,1
5382,0
5383,1
5384,1
5385,0
5386,1
5387,1
5388,1
5389,1
5390,1
5391,0
5392,0
5393,0
5394,1
5395,1
5396,0
5397,1
5398,1
5399,1
5400,1
5401,1
5402,0
5403,1
5404,1
5405,1
5406,1
5407,1
5408,1
5409,1
5410,0
5411,0
5412,0
5413,0
5414,1
5415,0
5416,0
5417,0
5418,1
5419,1
5420,1
5421,0
5422,0
5423,1
5424,0
5425,0
5426,0
5427,1
5428,1
5429,1
5430,1
5431,0
5432,1
5433,1
5434,1
5435,0
5436,1
5437,1
5438,1
5439,1
5440,0
5441,1
5442,1
5443,1
5444,0
5445,1
5446,0
5447,1
5448,1
5449,1
5450,0
5451,1
5452,1
5453,1
5454,1
5455,1
5456,0
5457,0
5458,1
5459,0
5460,1
5461,1
5462,0
5463,1
5464,1
5465,1
5466,1
5467,1
5468,1
5469,1
5470,1
5471,1
5472,1
5473,0
5474,1
5475,1
5476,1
5477,1
5478,1
5479,1
5480,1
5481,0
5482,1
5483,0
5484,1
5485,1
5486,1
5487,0
5488,0
5489,1
5490,1
5491,1
5492,0
5493,1
5494,1
5495,0
5496,1
5497,1
5498,1
5499,1
5500,0
5501,1
5502,1
5503,0
5504,1
5505,1
5506,1
5507,1
5508,0
5509,1
5510,1
5511,0
5512,0
5513,1
5514,0
5515,1
5516,1
5517,1
5518,1
5519,0
5520,1
5521,1
5522,1
5523,1
5524,1
5525,0
5526,1
5527,1
5528,1
5529,0
5530,0
5531,1
5532,1
5533,1
5534,1
5535,1
5536,0
5537,0
5538,1
5539,1
5540,1
5541,1
5542,1
5543,1
5544,1
5545,1
5546,1
5547,1
5548,0
5549,1
5550,1
5551,1
5552,1
5553,1
5554,1
5555,1
5556,1
5557,1
5558,1
5559,0
5560,1
5561,1
5562,1
5563,1
5564,1
5565,1
5566,1
5567,1
5568,1
5569,1
5570,0
5571,1
5572,1
5573,1
5574,0
5575,1
5576,1
5577,1
5578,0
5579,1
5580,0
5581,1
5582,1
5583,0
5584,1
5585,0
5586,1
5587,1
5588,1
5589,0
5590,1
5591,1
5592,1
5593,1
5594,1
5595,0
5596,0
5597,0
5598,1
5599,1
5600,1
5601,1
5602,1
5603,1
5604,1
5605,1
5606,1
5607,1
5608,1
5609,1
5610,0
5611,1
5612,1
5613,1
5614,0
5615,1
5616,0
5617,1
5618,1
5619,1
5620,1
5621,1
5622,0
5623,1
5624,0
5625,1
5626,1
5627,1
5628,1
5629,1
5630,1
5631,1
5632,1
5633,1
5634,0
5635,0
5636,1
5637,1
5638,1
5639,1
5640,1
5641,1
5642,1
5643,1
5644,1
5645,0
5646,1
5647,1
5648,1
5649,0
5650,0
5651,1
5652,1
5653,1
5654,0
5655,1
5656,1
5657,1
5658,1
5659,0
5660,1
5661,1
5662,1
5663,1
5664,1
5665,1
5666,1
5667,0
5668,1
5669,0
5670,1
5671,1
5672,1
5673,1
5674,1
5675,1
5676,1
5677,0
5678,1
5679,0
5680,0
5681,1
5682,1
5683,1
5684,0
5685,0
5686,1
5687,1
5688,1
5689,1
5690,1
5691,1
5692,0
5693,1
5694,1
5695,1
5696,1
5697,1
5698,1
5699,1
5700,1
5701,1
5702,0
5703,0
5704,1
5705,1
5706,1
5707,0
5708,1
5709,1
5710,1
5711,1
5712,1
5713,1
5714,1
5715,1
5716,1
5717,0
5718,1
5719,1
5720,1
5721,1
5722,1
5723,1
5724,1
5725,1
5726,1
5727,1
5728,1
5729,1
5730,0
5731,1
5732,0
5733,1
5734,0
5735,1
5736,1
5737,1
5738,1
5739,1
5740,1
5741,1
5742,1
5743,1
5744,1
5745,1
5746,1
5747,1
5748,1
5749,0
5750,1
5751,1
5752,1
5753,0
5754,0
5755,1
5756,0
5757,1
5758,1
5759,1
5760,1
5761,1
5762,1
5763,1
5764,1
5765,1
5766,1
5767,1
5768,1
5769,1
5770,1
5771,0
5772,1
5773,1
5774,1
5775,1
5776,1
5777,1
5778,1
5779,1
5780,0
5781,1
5782,1
5783,1
5784,1
5785,0
5786,1
5787,1
5788,1
5789,1
5790,1
5791,1
5792,0
5793,1
5794,1
5795,0
5796,0
5797,1
5798,1
5799,1
5800,0
5801,1
5802,1
5803,0
5804,1
5805,1
5806,1
5807,1
5808,1
5809,0
5810,1
5811,1
5812,1
5813,1
5814,1
5815,0
5816,1
5817,1
5818,0
5819,1
5820,0
5821,1
5822,1
5823,1
5824,1
5825,0
5826,0
5827,0
5828,0
5829,1
5830,0
5831,1
5832,1
5833,1
5834,1
5835,0
5836,1
5837,0
5838,0
5839,1
5840,1
5841,0
5842,0
5843,0
5844,1
5845,1
5846,1
5847,1
5848,1
5849,1
5850,1
5851,0
5852,0
5853,0
5854,1
5855,0
5856,0
5857,1
5858,0
5859,1
5860,1
5861,1
5862,0
5863,0
5864,0
5865,0
5866,1
5867,0
5868,1
5869,1
5870,1
5871,0
5872,0
5873,0
5874,0
5875,1
5876,1
5877,1
5878,1
5879,0
5880,0
5881,1
5882,0
5883,1
5884,1
5885,1
5886,1
5887,1
5888,1
5889,1
5890,1
5891,1
5892,1
5893,1
5894,1
5895,1
5896,1
5897,0
5898,1
5899,1
5900,1
5901,1
5902,1
5903,0
5904,1
5905,0
5906,1
5907,1
5908,1
5909,1
5910,1
5911,0
5912,1
5913,0
5914,0
5915,0
5916,1
5917,1
5918,1
5919,1
5920,0
5921,1
5922,1
5923,1
5924,1
5925,1
5926,1
5927,0
5928,1
5929,1
5930,1
5931,1
5932,1
5933,1
5934,1
5935,0
5936,1
5937,0
5938,1
5939,1
5940,1
5941,0
5942,0
5943,1
5944,1
5945,1
5946,1
5947,1
5948,1
5949,1
5950,1
5951,0
5952,1
5953,1
5954,0
5955,1
5956,1
5957,1
5958,1
5959,1
5960,1
5961,1
5962,1
5963,1
5964,1
5965,0
5966,1
5967,0
5968,1
5969,1
5970,0
5971,1
5972,0
5973,1
5974,0
5975,1
5976,1
5977,1
5978,1
5979,0
5980,1
5981,1
5982,0
5983,1
5984,1
5985,0
5986,1
5987,1
5988,0
5989,1
5990,1
5991,1
5992,0
5993,0
5994,0
5995,1
5996,0
5997,1
5998,0
5999,1
6000,0
